basic_info_bathrooms,basic_info_bedrooms,basic_info_description,basic_info_homeType_CONDO,basic_info_homeType_SINGLE_FAMILY,basic_info_house_age,basic_info_livingArea,basic_info_lotSize_sqft,basic_info_zipcode_94005,basic_info_zipcode_94014,basic_info_zipcode_94015,basic_info_zipcode_94102,basic_info_zipcode_94103,basic_info_zipcode_94104,basic_info_zipcode_94105,basic_info_zipcode_94107,basic_info_zipcode_94108,basic_info_zipcode_94109,basic_info_zipcode_94110,basic_info_zipcode_94111,basic_info_zipcode_94112,basic_info_zipcode_94114,basic_info_zipcode_94115,basic_info_zipcode_94116,basic_info_zipcode_94117,basic_info_zipcode_94118,basic_info_zipcode_94121,basic_info_zipcode_94122,basic_info_zipcode_94123,basic_info_zipcode_94124,basic_info_zipcode_94127,basic_info_zipcode_94129,basic_info_zipcode_94130,basic_info_zipcode_94131,basic_info_zipcode_94132,basic_info_zipcode_94133,basic_info_zipcode_94134,basic_info_zipcode_94158,features_hasAssociation,features_numberOfUnitsInCommunity,financial_lastSoldPrice,financial_monthlyHoaFee,financial_taxAssessedValue,financial_taxAssessedValue_is_missing,location_latitude,location_longitude,location_neighborhood_Bernal_Heights,location_neighborhood_Dolores_Heights,location_neighborhood_Eureka_Valley,location_neighborhood_Excelsior,location_neighborhood_Glen_Park,location_neighborhood_Golden_Gate_Heights,location_neighborhood_Inner_Richmond,location_neighborhood_Marina_District,location_neighborhood_Mission,location_neighborhood_Mission_Bay,location_neighborhood_Mission_Dolores,location_neighborhood_Noe_Valley,location_neighborhood_Other,location_neighborhood_Outer_Richmond,location_neighborhood_Outer_Sunset,location_neighborhood_Pacific_Heights,location_neighborhood_Parkside,location_neighborhood_Potrero_Hill,location_neighborhood_Rincon_Hill,location_neighborhood_Russian_Hill,location_neighborhood_South_of_Market,property_details_exteriorFeatures_Balcony,property_details_exteriorFeatures_Fire_Pit,property_details_exteriorFeatures_Other,property_details_exteriorFeatures_Uncovered_Courtyard,property_details_fireplaces,property_details_flooring_Carpet,property_details_flooring_Hardwood,property_details_flooring_Other,property_details_flooring_Tile,property_details_flooring_Wood,property_details_garageParkingCapacity,property_details_hasFireplace,property_details_hasGarage,property_details_hasHeating,property_details_hasSpa,property_details_hasView,property_details_has_built_in_refrigerator,property_details_has_double_oven,property_details_has_warming_drawer,property_details_has_wine_refrigerator,property_details_heating_Central,property_details_heating_Electric,property_details_heating_Fireplaces,property_details_heating_Gas,property_details_heating_Natural_Gas,property_details_heating_Other,property_details_parkingFeatures_Attached,property_details_parkingFeatures_Garage_Door_Opener,property_details_parkingFeatures_Independent,property_details_parkingFeatures_Inside_Entrance,property_details_parkingFeatures_On_Site_Single_Family_Only,property_details_parkingFeatures_Other,property_details_standard_appliance_score,schools_elementary_school_distance,schools_elementary_school_rating,schools_high_school_distance,schools_high_school_rating,schools_middle_school_distance,schools_middle_school_rating,scores_bikeScore,scores_transitScore,scores_walkScore
2.0,2,"Perched at the nexus of two of San Francisco's most coveted enclaves Nob Hill/Russian Hill, this exquisite 2bd 2ba 1Pkg/EVcharging condominium offers an unparalleled vantage point, boasting breathtaking views of the iconic Golden Gate Bridge from its stunning rooftop deck. Here, in the heart of the city, residents are immersed in a vibrant urban landscape rich with world-class dining and upscale boutiques.    Built in 2010, the epitome of modern elegance with thoughtful design. Inside, soaring ceilings and an open-concept layout create an airy, light-filled ambiance. The gourmet kitchen featuring sleek quartz countertops, a premium Viking 4 burner gas range, a Fisher & Paykel refrigerator with built-in filtration, and a Bosch dishwasher all designed to elevate both form and function. The two bedrooms offer generous closet space, with the primary suite distinguished by double doors that open to a charming Juliette balcony. The spa-inspired bathrooms are adorned with Porcelanosa fixtures, minimalist porcelain tiling, and a refined aesthetic, and the primary bath offering a luxurious shower over soaking tub. In-unit laundry. This is a true San Francisco jewel!  Walk Score of 98 Transit Score of 90.",1,0,15.0,835.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,1065000.0,599,826350.0,0,37.795296,-122.41722,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0,0,0,1,1,1.0,1,1,1,0,1,0.0,0.0,0.0,0.0,0,1,0,0,1,1,1,1,0,0,0,1,4.0,0.1,4.0,0.7,8.0,1.1,6.000000000000001,64.0,93.0,97.0
1.0,1,"1 bedroom Below Market Rate (BMR) housing opportunity available at 90% Area Median Income (AMI). Maximum income for 1 person = $94,400; 2 people $107,900; 3 people  = $121,350; 4 = $134,850; 5 people = $145,650, etc. Must be 1st-time homebuyer & income eligible. Unit available thru the Mayor's Office of Housing and Community Development (MOHCD) & subject to resale controls, monitoring & other restrictions. Unit will be listed on DAHLIA, the SF Housing Portal (https://housing.sfgov.org) starting on the application date, 8-30-2024. Visit https://housing.sfgov.org for application & program info. Application, loan pre-approval, and homebuyer education verification due on 9-20-2024 at 5:00 PM. Fair Housing Opportunity.",1,0,15.0,613.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.0,386023.0,443,313078.0,0,37.7892,-122.41225,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,5.0,0.4,5.0,1.2,8.0,1.6,6.000000000000001,61.99999999999999,100.0,99.00000000000001
1.0,2,"723 Taylor St #402, San Francisco, CA 94108 is a condo home that contains 757 sq ft and was built in 2010. It contains 2 bedrooms and 1 bathroom. This home last sold for $655,000 in August 2025. 
 
The Zestimate for this house is $658,700. The Rent Zestimate for this home is $4,368/mo. ",1,0,15.0,757.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,655000.0,0,790046.0,0,37.789192,-122.41223,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.4,5.0,1.2,8.0,1.6,6.000000000000001,61.99999999999999,100.0,99.00000000000001
1.0,1,"$126k Reduction! This bright and modern upper-floor Hayes Valley condominium offers contemporary living in a well-maintained elevator building built in 2010. The spacious 1 bed/1 bath/ 870 sqft (per tax records) home features air conditioning, sleek hardwood floors, and a generous bedroom with a walk-in closet. The modern kitchen is equipped with high-end appliances, including a Bertazzoni gas range, Bosch dishwasher and microwave, and elegant quartz countertops. A convenient in-home washer and dryer add to the home's practicality. The unit includes 1 car (SUV-sized!) deeded parking space with an EV charger, and residents enjoy access to a shared common courtyard. Hayes Valley is a dynamic neighborhood known for its chic boutiques, world-class dining, and thriving arts scene. This flat and walkable enclave offers a perfect blend of historic charm and modern sophistication, making it one of the city's most desirable places to live. 100 Walk & Transit Scores, 99 Bike Score. Leave your car in the garage and explore all that your new neighborhood has to offer. Monthly fees are $877.20 (per HOA), 32 unit condominium building.",1,0,15.0,870.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32.0,750000.0,826,1028016.0,0,37.77683,-122.42153,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,1,1.0,0,1,1,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,1,6.0,0.5,6.0,1.1,3.0,1.5,3.0000000000000004,99.0,100.0,100.0
1.0,1,"Chic and generous 1BR/1BA condo blocks from Hayes Valley in doorperson building. This modern home features floor-to-ceiling windows, high ceilings, and beautiful hardwood floors. The open layout includes a bright living area with city outlooks and a sleek open kitchen with gas range, pantry, and breakfast bar flowing into a large dining spaceideal for entertaining. The bedroom offers a walk-in closet, along with additional in-unit closets. The bathroom boasts a clean, modern design with a shower over an oversized soaking tub. Enjoy the convenience of in-unit laundry, two extra storage units (one on the same floor), and deeded parking. Pet-friendly building includes concierge, fitness center, and rooftop deck. Located steps from Hayes Valley dining, shops, and cultural landmarks like SF Jazz Center and the Ballet, with easy access to public transportation. A stylish urban retreat in one of the city's most dynamic neighborhoods.",1,0,16.0,920.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50.0,800000.0,541,670338.0,0,37.776123,-122.41969,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,1,1.0,0,1,1,0,1,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,1,1,0,1,4.0,0.5,6.0,1.1,3.0,1.4,3.0000000000000004,99.0,100.0,99.00000000000001
1.0,1,"Great for a primary home or rental! Located right in the heart of bustling & ever popular Hayes Valley!  Unit 605 is an oversized + bright 1BD/1BA condo on the 6th floor of a 50 unit building. Open floor plan, wood flooring in main living area, in-unit laundry, and ample closet space (incl. walk-in closet). Building amenities: secure parking, gym, concierge, large storage unit and beautiful shared roof deck with BBQ and seating. Easy & convenient access to downtown, freeways, shopping/dining on Hayes Street, Performing Arts District, and nearby Patricia's Green! 100 Transit Score / 98 Walkscore.",1,0,16.0,946.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50.0,730000.0,682,997524.0,0,37.776123,-122.41969,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,1,0.0,0,1,1,0,1,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0,1,6.0,0.5,6.0,1.1,3.0,1.4,3.0000000000000004,99.0,100.0,99.00000000000001
2.0,2,"Welcome to Residence 14A at Millennium Tower  a desirable corner unit with hardwood floors, newer bedroom carpeting, and custom Brazilian marble countertops. The chef's kitchen features a Sub-Zero fridge and Bosch appliances, opening into a generous main living area with bedrooms on opposite ends for privacy.  Enjoy a private entryway, great natural light, west-facing views down Mission Street, and a peek at Salesforce Park from the second bedroom. Millennium Tower remains one of San Francisco's premier luxury buildings, offering 24-hour concierge and security, valet parking, a state-of-the-art gym, spa, saltwater pool, screening room, wine cellar, resident lounge with full-service bar and dining room, children's playroom, and more. Don't miss this incredible opportunity to experience luxury at its finest! Ideally located in the heart of downtown, just moments from the Ferry Plaza's shops and cafes, iconic Embarcadero Waterfront, with convenient access to Highways 101 and 280.",1,0,16.0,1479.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,419.0,1020000.0,2340,1061000.0,0,37.790382,-122.39616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0,1,0.0,0,0,1,0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,4.0,2.1,9.0,1.8000000000000003,8.0,2.0,3.0000000000000004,82.00000000000001,100.0,99.00000000000001
2.0,2,"The Millennium is back! Watch this video about the successful completion of the repair project: https://youtu.be/3BMzjNiFEaA. You'll be impressed by this 2-BR, 2-BA residence overlooking Salesforce Park. Bespoke upgrades include refinished oak floors, quartz counters, custom lower kitchen cabinets and backsplash, wine refrigerator, full-size washer/dryer, and custom lighting. A rain head enhances the primary shower, and the bedroom features both a well-appointed walk-in closet and a second closet. In addition to the building's valet service, this condo comes with a guaranteed parking space available for a monthly fee. Residents enjoy an impressive range of amenities designed to elevate urban living, including a 24-hour concierge and security. The massive Club Level is replete with a state-of-the-art 5,000+ sq. ft. fitness center, monthly wellness events, Pilates studio, yoga room, screening center, saltwater lap pool, and adjacent spa. The owner's lounge is ideal for entertaining or unwinding. Outdoor terraces, bike storage, a business center, and conference room add further convenience. Adjacent to the Transbay Terminal, this location offers unmatched transit access. The Ferry Building and Union Square are just minutes away. See disclosures for details about the repair project.",1,0,16.0,1245.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,419.0,1120000.0,2226,904000.0,0,37.79049,-122.395935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,1,1,0.0,0,0,1,1,0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,4.0,2.1,9.0,1.8000000000000003,8.0,2.0,3.0000000000000004,82.00000000000001,100.0,99.00000000000001
1.0,1,"Experience luxury living at the Millennium Tower! Recently completed retrofit, Millenium Tower is a 5 Star residential building with world-class amenities that include 24 hour concierge service along with 20,000 sq ft club level equipped with Owner's Lounge with food service from International Smoke, fitness center, private screening room, saline lap pool, spa/hot tub, outdoor terrace and more! This bright and spacious one bedroom and one bathroom unit offers an open floor plan, gourmet kitchen that features sub-zero and Bosch appliances. Directly adjacent to Salesforce Park and the new SF Transbay Terminal. A short walk to the Ferry Building, shopping, restaurants and the financial district. Easy access to the Bay Bridge, highways 80/101/280.",1,0,16.0,668.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,590000.0,1945,507000.0,0,37.790543,-122.39593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,1,0,0,0.0,0,0,1,0,0,1.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,2.1,9.0,1.8000000000000003,8.0,2.0,3.0000000000000004,82.00000000000001,100.0,99.00000000000001
1.0,1,"Luxury living at Millennium! Situated on the 17th floor, this unit offers beautiful salesforce park and city views. The gourmet kitchen features sub-zero and Bosch appliances. The spacious bathroom includes a large shower, a soaking tub, and elegant limestone floors. Millennium Tower is San Francisco's best 5 star private residential building with full service amenities including 24 hour concierge service, 20,000 SF gym, Owner's Lounge with food service from International Smoke, private screening room, saline lap pool, spa/hot tub and more! A short walk to the Ferry Building, Financial District, Shopping and World Class Restaurants. Easy access to the Bay Bridge, highways 80/101/280, and public transportation. Don't miss this opportunity!",1,0,16.0,773.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,419.0,615000.0,1919,615000.0,0,37.790504,-122.39631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0,1,0.0,0,0,1,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,2.1,9.0,1.8000000000000003,8.0,2.0,3.0000000000000004,83.0,100.0,99.00000000000001
